artist,genre,title,album,lyrics,labels
Jah Cure,Reggae,Call On Me,The Universal Cure,"La doamnele mele, acum doamnele mele se leagă din nou oricând ai nevoie de un sunet iubit pe mine, voi aștepta oricând ai nevoie de un amabil apel pe mine, inima mea mă doare, oricând vrei să-mi suni la fetiță, vreau să te crești de la drumul înapoi când avea nouă ani și am fost zece, obișnuia să fie vecinul meu, chiar și-am dat drumul la școală, în continuare, în continuare, în timp ce se ținea la școală, în timp ce CLINE ME LOVING ME O iubesc la fel, vreau doar să știi că te iubesc, așa că oricând ai nevoie de un sunet iubit la mine, voi aștepta oricând ai nevoie de un amânat apel pe mine, inima mea mă durea, oricând vrei să-mi suni la fetiță, vreau să iubești, așa cum nu au văzut niciodată că am fost tineri și jocuri, că am căzut în dragoste pentru prima dată când te-am văzut și nu te-am îngrijorat niciodată, pentru că te-am apropiat de jocuri, acum suntem doi eu, îl iubesc la fel pentru că oricând ai nevoie de o chemare iubitoare la mine, voi aștepta oricând ai nevoie de un apel iubit la mine, inima mea mă doare, oricând vrei să-mi suni băiat, te vreau acum, am ajuns până acum, nu ne vom întoarce din nou acum, te iubesc, nu există niciun sfârșit de când ai nevoie de un sunet de a-mi face apel, oricând să-ți faci un apel pentru mine Te vreau","['Nostalgia', 'Tenderness']"
Catatonia,Rock,Londinium,Equally Cursed and Blessed,"Londra nu doarme niciodată, ci doar viața din mine și banii din buzunarul meu Londra se înfioră întotdeauna showbiz îmbrățișează viața din mine au o demnitate miere euston stație de tren Paddington, vă rog să faceți luminile roșii să devină verzi la nesfârșit rulourile mele negre prin boala neon, la nesfârșit, Londra, nu doarme, doar sugerează viața din mine, care au o dignitate de miere de miere de buzunar, pe care îl doarmă peștele umed. Gara de tren Vă rugăm să faceți ca luminile roșii să devină verzi la nesfârșit de taxă neagră prin boala neon la nesfârșit la nesfârșit, prind viață în afara M25, nu voi bea otrava Thames, voi alunga soarele din West Londinium Euston Paddington Gara, vă rog să faceți luminile roșii să devină verzi la nesfârșit, cabina mea neagră se rostogolește prin boala neonului la nesfârșit, vin în viață.","['Sadness', 'Tension']"
The Church,Rock,Aura,Priest=Aura,"Cu toții ne-am întors din război, mi-aș dori ca cineva să-mi spună scorul pe care l-am randat pe bătrânul Poseidon peste cărbuni s-a zguduit scoicile și-au bărbierit țărmurile, unde poate un soldat să-și rezolve o băutură Uită zgomotul Uită de mirosul și opiumul rulează destul de scăzut pentru că durerea se întoarce, nu vreau să știu pe oceanul nu-i pe ocean, nativii sunt căsuți-le să-și ucidă dinții, dar nu-i mai respirați, dar nu-i vor fi pe dinți să-și umileze, dar nu este vorba de respirația lor, care să-și umileze, dar nu-i vor fi înfocați, dar nu-i vor fi pe dinți să-i umfle dinți. them to death We were on some battlefield I felt something soft go through my shield I felt something warm enter my guts I was bleeding bad but there were no cuts They captured three of us took us back to their village After a long long time I could decipher their language They worshipped Baal they worshipped the sun They worshipped the son of the evil one They were more than voracious they sucked our ambition They let me go on one condition That was when I came back to my native shore I tell you they do not want to play with us anymore But a part of me will never be free And the part that is free will never be me But a thing of love and beauty is in my head A message from my enemies and here 's what they said They said that love = hate And death = fate An enemy always = an adorer But priest = aura And life = time And time = space And space = sublime And human = race and woman = man And pot = pan The fauna ought to equal the flora But priest = aură și început = sfârșitul sfârșitului întotdeauna = începutul, dar drept = îndoit mintea uneori = inima și tu = me țara = marea mai bogată = mai săracă și preot = aura","['Power', 'Sadness', 'Solemnity', 'Tension']"
Rita Marley,Reggae,Thank You Jah,Who Feels It Knows It,"Thank you Jah for what you have done for me Thank you Jah for what your doing now Thank you Jah for every little thing Thank you Jah for you make me sing i am gon na singalong singalong Said i am in no competition But i have made my decision You can keep You can keep your opinion I just calling on the white man communion Thank you Jah for what you have done for me Thank you Jah for what your doing now Right now now Thank you Jah for every little thing Thank you Jah you make the birds to sing Suntem gon na Singalong singalong .. am spus că nu sunt în competiție, dar am luat decizia mea, puteți să vă continuați părerea să vină să vină să merg, vreau să vă spun mulțumesc Jah pentru ceea ce ați făcut pentru mine mulțumesc Jah pentru ceea ce faceți acum acum mulțumesc Jah pentru fiecare mic lucru mulțumesc Jah pentru că mă faceți să cântați sunt gon na na Singalong Singalong pentru","['Nostalgia', 'Power', 'Solemnity']"
The Smiths,Rock,Hand in Glove,The Smiths,"Mână în mănușă Soarele strălucește din spatele nostru nu, nu este ca orice altă iubire, aceasta este diferită-pentru că este noi mâna în mănușă, putem merge oriunde ne-am mulțumi și totul depinde de cât de aproape de mine stai de mine și dacă oamenii se uită, atunci oamenii se uită, chiar nu știu și nu-mi pasă cu adevărat nuanțele mele ... mâna în mănușă, oamenii buni râd, da, ar putea fi ascuns de raguri, dar noi nu vom avea niciunul în spate, cu mâna, da, nu-și va fi în spate, da, nu vom avea ceva în spate Poate fi ascuns de zdrențe, dar avem ceva ce nu vor avea niciodată și dacă oamenii privesc, atunci oamenii se uită, chiar nu știu și chiar nu-mi pasă să-mi sărut nuanțele ... așa că mâna în mănușă, mă bucur de afirmația că voi lupta până la ultima respirație dacă îndrăznesc să ating un păr pe capul tău, voi lupta până la ultimul respirație pentru viața bună este acolo undeva, așa că rămâneți pe brațul meu, nu veți vedea, probabil, nu voi vedea că nu va fi prea bine, da, nu știu, probabil tu din nou, probabil că nu te voi mai vedea niciodată","['Amazement', 'Nostalgia', 'Sadness', 'Tenderness']"
Led Zeppelin,Rock,Dazed and Confused,Led Zeppelin,"Am fost amețit și confuz atât de mult timp, nu este adevărat căutat o femeie nu a negociat niciodată pentru tine, mulți oameni vorbesc și puțini dintre ei știu că sufletul unei femei a fost creat mai jos, te-a rănit și abuzul spunând că toate minciunile tale aleargă în jurul dulciului Domnului Domnului, modul în care ei hipnotizează micuțul dulce, nu știu unde ai fost să te bucuri de flori în păsări, dacă vei merge la San Francisco, să fii sigur că te vei întâlni cu flori în păr, dacă vei merge la San Francisco, să fii sigur că te vei întâlni cu flori în păr, dacă vei merge la San Francisco, să fii sigur că te vei întâlni cu flori în păr, dacă vei merge la San Francisco, să fii sigur că te vei întâlni cu flori în păr, dacă vei merge la San Francisco. Oamenii de acolo în fiecare zi muncesc atât de mult, aducându-mi acasă plata câștigată din greu, încearcă să te iubesc iubito, dar mă îndepărtezi nu știi unde te duci doar să știi doar unde ai fost dulce copil mic, vreau să te uit din nou și confuzați atât de mult timp, nu este adevărat că a vrut o femeie niciodată să nu vă negocieze pentru că luați-l ușor bebelușul, lăsați-i să spună ceea ce vă va face ca limba să-și dorească atât de mult când v-am trimis factura?","['Sadness', 'Tenderness', 'Tension']"
Soundgarden,Rock,My Wave,Superunknown ,"Luați dacă doriți o felie dacă doriți o piesă dacă se simte bine pauză dacă vă place sunetul dacă vă ridică dacă vă duceți să împărtășiți dacă vă face să dormiți dacă vă eliberați dacă vă ajută să respirați, nu veniți aici și supărați pe poarta mea, salvați-l, doar păstrați-l de pe valul meu plânsul dacă doriți să plângeți; Dacă te ajută să vezi dacă îți curăță ochii, dacă vrei să urăști dacă te păstrează în siguranță, dacă te face curajos să te rogi dacă vrei să te rogi dacă îți place să îngenunchezi dacă îți place să te așezi, nu-ți ieși aici și mă enervează pe poarta mea, salvează-l, doar să-l ținem de valul meu, ține-l de valul meu, ține-l pe valul meu valul meu, ține-l pe valul meu, ține-l pe valul meu, ține-l pe valul meu, valul meu, valul meu, ține-l pe valul meu, ține-l pe valul meu, ține-l pe valul meu, valul meu, valul meu, ține-l pe valul meu să-l înnebunești dacă îți ținem valul meu; If it helps you see If it clears your eyes Hate if you want to hate If it keeps you safe If it makes you brave Take if you want a slice If you want a piece If it feels alright do not come over here And piss on my gate Save it just keep it Off my wave Keep it off my wave Keep it off my wave my wave Keep it off my wave Keep it off my wave Keep it off my wave my wave My wave my wave my wave my wave My wave my wave my wave my wave my wave Keep it off my wave Keep În afara valului meu Valul meu ține-l de pe valul meu ține-l de pe val, ține-l de pe val, ține-l de pe val, ține-l de off it off it it it off my wave it of","['Calmness', 'Power', 'Tension']"
2Pac,Hip-Hop,Life Goes On,All Eyez on Me,"Câți frați au căzut victimă pe străzi? Odihnește-te în pace tânăr nigga, există un rai pentru a fi o minciună dacă ți-am spus că nu m-am gândit niciodată la moarte, Niggas-ul meu pe care l-am rămas ultimii, dar viața continuă câți frați au căzut victimă pe străzi? Odihnește-te în pace tânăr nigga, există un rai pentru a fi o minciună dacă ți-aș spune că nu m-am gândit niciodată la moarte, niggas-urile mele noi, ultimii rămași, dar viața continuă în timp ce măcai prin sufragerie goală respirația stinking în inelul meu inel inel-liniștit, toți apelurile primite, plus acest homie de la liceul pe care îl primesc până la a-i îngropa pe un alt frate, nimeni nu plânge viața, în timp ce un alcool și alcool și apeluri pe care le-am obișnuit să le facem pe un alt frate, în timp ce ADOLESC, în timp ce un baler: alcoolul și apelurile de pornire pe care le-am folosit pentru a face un alt frate, în timp ce nu-i amintește pe viață, în timp ce un baler: alcoolul și apelurile de booty le-am folosit pentru a face un alt frate, în timp ce nu-i amintește pe viață? Crescut ca G's Lock a ieșit și a aprins buruiana urcând pe acoperiș, ne-am lăsat să fumăm afară și să ne aruncăm cu mine două dimineața și încă am fost înalte, urlând „Thug” până voi muri! Al cincilea pentru fundul acela când ai trecut pentru că viața continuă câți frați au căzut victimă pe străzi? Odihnește-te în pace tânăr nigga, există un rai pentru a fi o minciună dacă ți-am spus că nu m-am gândit niciodată la moarte, Niggas-ul meu pe care l-am rămas ultimii, dar viața continuă câți frați au căzut victimă pe străzi? Odihnește-te în pace tânăr nigga Există un cer pentru a fi o minciună dacă ți-aș spune că nu m-am gândit niciodată la moarte, niggas-urile mele, ultimii, ultimii rămași, iar viața merge pe nigga am primit cuvântul că este iad că ai suflat procesul, iar judecătorul ți-a dat 25 cu un timp de timp pentru a te pregăti pentru a face timp hrănit nu va vedea parole imaginând viața ca un condamnat, care să îmbătrânească în plus, cu trucuri ieftine, care să-l privim pe viața voastră, în timp ce vă păstrează în plus, cu trucurile ieftine, care să-l privim pe viața dvs. Este bine pentru nimeni nu-ți amintește să joci pe hotties mut de la „Party me and you no mai truer doi, în timp ce te-ai imprimat pe lovituri și obținând trucuri în care poate că putem aluneca, dar acum ai îngropat-odihnește -te pentru că nu sunt ochii îngrijorați de ochi neclintiți spunându-mi la revedere de la cimitir, deși amintirile se estompează, am primit numele tău pe brațul meu, așa că amândouă mingi”, în timp ce memoriile mele! Thug 'până mor! Câți frați au căzut victimă pe străzi? Odihnește-te în pace tânăr nigga, există un rai pentru a fi o minciună dacă ți-am spus că nu m-am gândit niciodată la moarte, Niggas-ul meu pe care l-am rămas ultimii, dar viața continuă câți frați au căzut victimă pe străzi? Odihnește-te în pace tânăr nigga Există un rai pentru a fi o minciună dacă ți-aș spune că nu m-am gândit niciodată la moarte, niggas-urile mele, noi ultimii rămași pentru că viața continuă să mă îngropească zâmbind cu G's în buzunarul meu să am o petrecere la înmormântarea mea, lăsându-mi fiecare rapper rock, lăsându-l pe sapa pe care am știut-o de la drum, să mă sărute din capul meu, să-mi ofere un document, așa că nu pot să scriu viața mea Intrați-vă să-i spuneți tuturor oamenilor mei că sunt un Ridah Nimeni nu strigă când murim, ne-am lăsat să mă plimb până când mă eliberez îmi trăiesc viața pe banda rapidă, mi-a fost poliția care m-a urmărit spre vechea școală din blocurile vechi de la vechile echipaje, care m-au ghidat în spate în vechea școală, care se va întoarce cu un pic de lichior, pentru că un toast pentru că homies a văzut că amândoi am murit, dar ai ales să pleci înaintea mea și a fraților care să-ți lipsească, în timp ce homies a văzut că amândoi am murit, dar ai ales să pleci înaintea mea și a fraților care să-mi fie dor de faptul că, în timp ce ne-am văzut amândoi, dar am ales să pleci în fața mea, iar frații care nu-i lipsesc în timp ce homies, ne-am vazut amândoi, dar ai ales să pleci; Cât timp ne jelim? Viața continuă câți frați au căzut victimă pe străzi? Odihnește-te în pace tânăr nigga, există un rai pentru a fi o minciună dacă ți-am spus că nu m-am gândit niciodată la moarte, Niggas-ul meu pe care l-am rămas ultimii, dar viața continuă câți frați au căzut victimă pe străzi? Odihnește-te în pace tânăr nigga, există un cer pentru a fi o minciună dacă ți-aș spune că nu m-am gândit niciodată la moarte, niggas-urile mele noi ultimii rămași, dar viața continuă viața continuă să plece, pentru că au murit niggas făcând viață niggas făcând 50 și 60 de ani și rahat, simt că nu ai încredere în mine, te simt Ştii ce vreau să spun? Anul trecut am turnat lichior pentru ya anul acesta nigga viața merge mai departe We Are Gon na Clock Now Get Money Evade Bitches Evade Tricks Oferă Playa Haters mult spațiu și, practic, reprezintă doar pentru tine Baby Data viitoare când vei vedea niggas-ul tău, gong să fim în top nigga you gong să fii ca „Goddamn-le niggas a venit!” Mental! Voi toți negrii vă asigurați că apare atunci când ajungem acolo, omul nu este în față viața continuă să mă țină mai mult nu mai ține-mă nu mai da, da, da, da, nu-i așa","['Nostalgia', 'Sadness', 'Tension']"
The Mission UK,Rock,Like a Child Again,Masque,"i am not scared anymore i am not scared of the dark when I sleep with you And i am feeling alive And i am feeling strong again when i am with you And it hits me Just like a runaway train And it blows me away Just like a hurricane You make me happy and I hope you feel the same You make me feel just like a child a child again i am not trapped anymore Between madonna and the whore when I lay with you And the days run away Like wild horses run away when i am with you And i Te respire la fel ca aerul de dimineață și te înfășoară la fel ca o piele care să te poarte, mă face fericit și sper să te simți la fel, mă faci să mă simt ca un copil din nou un copil, dulce, sunt născut din nou pentru tine, la fel ca un copil din nou, mă faci fericit și sper să simți la fel și eu mă simt ca o ploaie blândă, mă faci fericit și te doresc să simți același","['Joyful activation', 'Power', 'Sadness', 'Tenderness']"
The Jam,Rock,Town Called Malice,The Gift,"Better stop dreaming of the quiet life ' Cos it is the one we will never know And quit running for that runaway bus ' Cos those rosey days are few And... stop apologising for the things you have never done ' Cos time is short and life is cruel But it is up to us to change This town called Malice Rows and rows of disused milk floats Stand dying in the dairy yard And a hundred lonely housewives Clutch empty milk bottles to their hearts Hanging out their old love letters on the line to uscat Este suficient pentru a vă face să nu mai credeți când lacrimile vin repede și furioase într-un oraș numit Malice Luptggle după lupta an după an, atmosfera, un amestec fin de gheață, sunt aproape de piatră rece de piatră într-un oraș numit Malice, credința întreagă a străzii în duminica, de vită, este o decizie mare în momentul în care a fost legată de răutate pentru a fi o gosposiune a unei bere, iar noua treaptă a copiilor. Nicăieri nu am mers doar „rotund” copii de joacă și leagăne de scârțâit au pierdut râsul în briza pe care aș putea să o fac ore întregi și probabil o voi face, dar voi pune mai curând o bucurie în acest oraș numit răutate în acest oraș numit răutate în acest oraș numit Malice","['Nostalgia', 'Sadness', 'Tenderness']"
The Notorious B.I.G.,Hip-Hop,I Got a Story to Tell,Life After Death,"Cine vorbești cu toții cu omul? Verificați-l, verificați acest lucru aici se adresează tuturor niggas-urilor care sunt nenorocite de cățee nebunești în alte niggas pătuțuri care se gândesc că rahatul este dulce nigga înfiorător pe fundul tău hahaha live niggas respect-l - verificați că am dat lovituri fluxuri pentru că am dat jos ușile pentru că Ya a lăsat toate mamele mele, care a dat cu toții pentru a-l face pe Frankie, cum ar fi să-l lăsăm pe Frankie, cum ar fi să-l lăsăm pe Frankie, așa cum este să-l lăsăm pe Frankie, așa cum s-a dat jos Jocul meu a scăzut dulceața destul de plată la care ai parcat? Petiteness, dar acea grăsime de fund a obținut un corp să facă un nigga care să vrea să mănânce, că mă dau dracu cu tine oficialul de curvă, deși Dick mai tare decât o rachetă încearcă să lovească dacă ea trântește dispărând ca Arsenio the Bitch Push A cu cei cinci în față, probabil că o cascadorie conștientă te-ai condus cu toții în față, eu sunt o coajă cu ea găsește afacerea cu ea, o cascadorie înconjurătoare te-ai condus cu toții în față, am o coajă cu ea găsește afacerea cu ea, ea se înnebunește și te fut? Then we all get laced Televisions Versace heaven when i am up in ' em The shit she kicked all the shit 's legit She get dick from a player off the New York Knicks Nigga tricked ridiculous the shit was plush she is stressing me to fuck like she was in a rush We fucked in his bed quite dangerous i am in his ass while he playing ' gainst the Utah Jazz My 112 CD blast I was past She came twice I came last roll the grass She Giggle spunând „Eu fumez acasă-crescut”, apoi am auzit gemutul „Dragă sunt acasă!” Da, crom pentru situații de genul acesta, sunt în largul lui, știu că nu-i va plăcea acum, sunt ca „curva, mai bine să vorbești cu el înainte ca această a cincea să pună o scânteie pentru el, să-mi dau seama că se întunecă să-mi pună parte, dar să-l piardă pe o parte majoră, cum ar fi un festiv, cum ar fi să-l creezi pe jos, cum ar fi să-l înfipt pe jos, cum ar fi să-l pună pe jos, cum ar fi să-l pună pe jos, cum ar fi să-l bag. Am cocoșat toastul ugh înainte ca ochii mei să poată clipi, ea țipă „miere aduce-mi ceva de băut!” El se întoarce mai mult timp la parter pentru a crede că creierul ei de curse, îmi spune să rămân răbdător, nu știe că sunt mișto ca un fan gat în mână Nu vreau să-l explodez pe bărbatul ei, dar pot și, totuși, o voi face; Încerc chill, deși, chiar dacă situația arătând cam bolnavă, mi-a venit ca o melodie pe care am scris-o, i-a spus cățea „Gimme Your Scarf Pillowcase și frânghie” m-am îmbrăcat rapid, eșarfa din jurul feței mi-a scos cățeaua gâfâia gura ei cu perna de crudă, nigga tăiată, care a ieșit din potion de dragoste, nu blast, căldura pe care s-a stins! Cash! Îți amintești că curva am părăsit clubul cu omul? ciudat. Sunt sus în această cățea playa, această cățea nenorocită de rulează-le ol 'knick ass niggas și rahat. Sunt sus la fața locului, așa. Nu știu că nu știu. Unul dintre ei șase-cinci niggas nu știu. Oricum sunt sus în locul mamei. Așa că boom sunt în păsărică, orice. Mă stârnesc niște pop-uri de la Lah Pop, care trebuie să fi fost plouat sau ceva pentru că el este la fața locului. Dacă m-ar fi speriat m-ar fi speriat de moarte, am fost zguduit tată-dar uit că am avut roscoe pe mine. Întotdeauna. Știi cum facem. Așa că, oricum, nigga urcă pe scări, el se strecoară treptele pe care cățeaua s-a zguduit, ea trimite nigga înapoi la parter pentru a lua niște băuturi și rahat. Ea se înnebunește nervos, mi-a spus dracu pe omul acela! Eu sunt nigga, știi cum o facem nigga ransom nota stil Puneți eșarfa în jurul feței mele de mamă. Gagheged că tâmpitul a jucat kizzack-ul. În curând, acest nigga vine în fața locului, deșertul în fața lui, aruncă paharul. Arăta ca cioara să-l enerveze pe el-un cuvânt sau ceva pentru mamă! Ahh dracu-l. Acest cioara merge mort până la podea, cocoșul, începând să-mi ofere hârtii nebune. Ți-am spus că curva a fost o curvă shiesty pentru că! Cuvânt pentru mamă, obișnuiam să-i futi, dar tu nu ești Afirm! Nu ai ști rahatul ăla. Într-adevăr. Am aruncat toți acei mamă care a făcut bani în rucsacul Prada. Două cuvinte am plecat! Fără îndoială, fără îndoială ... fără îndoială! Nigga ai niște Lye cu toții ai niște lei?","['Amazement', 'Calmness', 'Joyful activation', 'Power', 'Tension']"
Kenny Chesney,Country,Song for the Saints,Songs for the Saints,"Cu mult înainte ca o barcă să ancoreze portul cu mult înainte ca tamburele de oțel să umplu briza zeu a ridicat aceste insule din ocean, ei stăteau puternici timp de secole, așa că se potrivesc, au fost numiți după bărbați cu halos de aur pentru că îngerii nu dau doar pentru că un mic suflă de vânt spunem că putem atunci când spun că nu putem vedea ce este atunci când ei văd ce nu este cu că nu este cu sângele și un cântec pentru a fi un nou strat de vopsea pentru că este vorba Fermierul din câmpul de trestie de zahăr pentru bețivul din hamac se usucă după ploaia pentru profesorul din copilul din clasă, care lovește cutii în stradă pentru căpitan și materul său de bar care se roagă pe genunchi îndoit, spunem că atunci când spun că nu putem vedea ce este atunci când vor vedea ceea ce nu sunt cu transpirația de sânge și o nouă haină de vopsea, va fi doar un Sinner Cor, care cântă o melodie pentru sânge și o nouă haină de vopsea. Strong Să ne ridicăm vocea împreună, pe măsură ce sfinții merg pe marș, spunem că atunci când spun că nu putem vedea ce este atunci când văd ce nu este cu transpirația de sânge și lacrimile și o haină nouă de vopsea suntem doar un cor al păcătosului care cântă un cântec pentru că spunem că putem atunci când spun că nu putem vedea ce este atunci când ei văd ceea ce nu sunt cu transpirația de sânge și un cântec și un nou strat de vopsea suntem doar un păcătos, care cântă cu transpirația de sânge și un cântec și un nou strat de vopsea suntem doar un păcătos al păcătos","['Amazement', 'Power']"
Placebo,Rock,This Picture,Sleeping With Ghosts,"Dețin o imagine a fetei de scrumieră a arsurilor de țigări pe pieptul meu, am scris o poezie care i-a descris lumea și a pus prietenia noastră la test și târziu noaptea, în timp ce pe toate patru obișnuia să mă privească sărutând podeaua ce este în neregulă cu această imagine? Ce este în neregulă cu această imagine? Farewell the ashtray girl Forbidden snowflake Beware this troubled world Watch out for earthquakes Goodbye to open sores To broken semaphore You know we miss her We miss her picture Sometimes it is fated Disintegrated For fear of growing old Sometimes it is fated Assassinated For fear of growing old Farewell the ashtray girl Angelic fruitcake Beware this troubled world Control your intake Goodbye to open sores Goodbye and furthermore You know we miss her We miss Poza ei se blochează, deși încercăm că a dispărut, deși încercăm că a dispărut, nu poate înceta să crească vechiul x5","['Nostalgia', 'Sadness', 'Tenderness', 'Tension']"
Carrie Underwood,Country,Drinking Alone,Cry Pretty,"Permiteți-mi să fac un lucru clar, puteți să-mi cumpărați o bere, dar nu mă duceți acasă, fără linii de preluare, am venit aici în această seară pentru a vărsa câteva lacrimi pe cont propriu, dar stând acolo prin cameră, nu am putut să nu am observat că par să mă gândesc puțin pe dragostea ta și inima mea s-ar putea să se spargă, dar acest scaun nu sunt luat și că m-ai gândit că nu ar trebui să beam singuri, dar să-i înnebunesc, dar este mai bine să-i rezolvăm pe altcineva, care nu am decât să ne descurcăm, dar mizeria, în această seară, care nu este nevoie with a whiskey chaser And a corner booth kiss to make me forget that he is gone we should be drinking alone We should be drinking alone together I do not know what she did to make you hurt like this But I know just what to do It starts with a bottle of good Reposado And ends with a shooter or two Tomorrow when the sun comes up Tonight ’ s the night that never was Baby just forget my name will not be your one and only But just ' cause we are lonely do not mean that we should We should be drinking alone ' Cause drowning the pain is better With somebody else who got problems We am not gon na solve ' em But misery loves company Tonight all I need is a stranger Lips with a whiskey chaser And a corner booth kiss to make me forget that he is gone we should be drinking alone Drinking alone drinking alone Together Maybe we should not be drinking alone We should be drinking alone Drinking alone drinking alone Baby we should not be drinking alone i will pretend that I care Baby pull up a chair we will stay here ' til they make us go home We should be drinking alone we should be drinking alone together Drowning the pain is better With somebody else who got problems We am not gon na solve ' em But misery loves company Tonight all I need is a stranger Lips with a whiskey chaser And a corner booth kiss to make me forget that he is gone we should be drinking alone Drinking alone drinking alone together Maybe we should not be drinking alone We should be drinking alone Drinking alone drinking alone Baby we should not be drinking alone Ar trebui să bem singuri","['Amazement', 'Joyful activation', 'Sadness', 'Tenderness']"
Elvis Presley,Rock,My Way,Aloha from Hawaii: Via Satellite,"Și acum sfârșitul este aproape, așa că mă confrunt cu perdeaua finală prietenul meu, voi spune că este clar că voi afirma cazul în care sunt sigur că am trăit o viață plină, am călătorit fiecare autostradă și mai mult mai mult decât asta am făcut-o regretă că am avut câteva, dar din nou, din nou, pentru a menționa, am făcut ceea ce am făcut ceea ce am făcut și am văzut-o prin intermediul căreia am avut câteva, dar din nou, de fiecare dată când am făcut-o pe ce am făcut ceea ce am făcut și mai mult, fără excepție, am planificat fiecare curs de tip, de fiecare dată, am fost de-a lungul timpului, de-a lungul faptului Sigur că știai când am mușcat mai mult decât am putut mesteca, dar prin toate acestea, când exista îndoieli, am mâncat-o și l-am scuipat, m-am confruntat cu totul și am stat înalt și am făcut-o în felul meu, am iubit, am râs și am plâns că am crezut că mi-am umplut partea mea de a pierde și acum, în timp ce lacrimile se opresc, nu am găsit atât de mult să cred că am făcut tot ceea ce este ceea ce nu am spus că nu a fost el, nu el, nu, nu, nu am făcut-o pe el, nu a fost el, nu, nu a făcut-o el. Ca să nu spun cuvintele pe care le simte cu adevărat și nu cuvintele unuia care îngenunchează înregistrarea arată că am luat loviturile și mi-am făcut drumul meu, înregistrarea arată că am luat loviturile și mi-am făcut-o în felul meu","['Calmness', 'Nostalgia', 'Power', 'Solemnity']"
Carrie Underwood,Country,"Jesus, Take the Wheel",Some Hearts,"Ea a condus vineri trecută în drum spre Cincinnati, într-un Ajun de Crăciun Albă ca Zăpada, plecând acasă pentru a-și vedea mama și tatăl ei cu copilul în bancheta din spate cincizeci de mile pentru a merge și a alergat scăzut pe credință și pe benzină, a fost un an lung, ea a avut o mulțime de minte și nu a acordat atenție că a fost atât de repede înainte de a ști că a fost că nu a făcut decât să se oprească pe o foaie neagră, așa că a văzut că a văzut atât de repede, înainte de a ști că, nu a fost decât să-și citească, așa scared She threw her hands up in the air Jesus take the wheel Take it from my hands ' Cause I can not do this on my own i am letting go So give me one more chance Save me from this road i am on Jesus take the wheel It was still getting colder when she made it to the shoulder And the car came to a stop She cried when she saw that baby in the backseat sleeping like a rock And for the first time in a long time She bowed her head to pray She said "" i am sorry for the way i have been Trăind viața mea, știu că trebuie să mă schimb, așa că de acum în această seară ""Iisuse ia roata ia-o din mâinile mele pentru că nu pot face asta pe cont propriu, mă las să plec, așa că dă-mi încă o șansă să mă salvezi de pe acest drum.","['Amazement', 'Sadness', 'Tension']"
Manic Street Preachers,Rock,Die In The Summertime,The Holy Bible,"Scratch my leg with a rusty nail sadly it heals Colour my hair but the dye grows out I can not seem to stay a fixed ideal Childhood pictures redeem clean and so serene See myself without ruining lines Whole days throwing sticks into streams I have crawled so far sideways I recognise dim traces of creation I wanna die die in the summertime I wanna die The hole in my life even stains the soil My heart shrinks to barely a pulse A tiny animal curled into a quarter circle Dacă într-adevăr vă pasă să spălați picioarele unui cerșetor, m-am târât până acum în lateral, recunosc urme slabe de creație, vreau să mor în timpul verii, vreau să mor, m-am târât până acum în lateral, recunosc urme slabe de creație, vreau să mor în timpul verii, vreau să mor","['Nostalgia', 'Sadness', 'Tension']"
Rita Marley,Reggae,Fussing And Fighting,Harambe (Working Together For Freedom),"De ce este această bătaie și luptă, vreau să știu că da, vreau să știu de ce este această înșelăciune și backbiting pe care vreau să o știu, vreau să știu acum că ar trebui să ne iubim cu adevărat în pace și armonie, în loc să mă bâlbâiem și să ne luptăm ca și cum nu ar fi trebuit să fim de ce este de ce acest lucru este de asta, vreau să știu că da, vreau să știu de ce este acest lucru și un plictisitor pe care vreau să-l știu; Doamne, vreau să știu acum eu și ar trebui să ne iubim cu adevărat în pace și în INITATE, în loc să ne băgăm și să le luptăm să lucrez nelegiuire De ce este această bătaie și luptă, vreau să știu da, vreau să știu acum de ce este această înșelăciune și backbiting pe care vreau să o știu; Vreau să știu cum ar trebui să ne iubim cu adevărat în pace și armonie, în loc să ne bâlbâiem și să ne luptăm ca și cum nu ar fi trebuit să fim de ce este această bătaie și luptă, vreau să știu Domnul, vreau să știu acum","['Calmness', 'Tension']"
Reba McEntire,Country,If I Had Only Known,For My Broken Heart,"Dacă aș fi știut doar că a fost ultima plimbare în ploaie, te-aș ține afară ore întregi în furtună, aș ține mâna ca o linie de viață până la inima mea de sub tunet, am fi fost cald, dacă aș fi știut că este ultima noastră plimbare în ploaie, dacă aș fi știut doar că nu aș mai auzi vocea ta din nou, aș memora fiecare lucru în capul meu, dacă nu am știut decât să nu mai auzim vocea voastră, vă va fi mai mult decât v-aș fi vrăjat în capul meu, dacă aș fi cunoscut doar că nu aș mai auzi vocea voastră, nu ați mai fi vorba de vanele voastre în interiorul meu, dacă nu aș fi cunoscut decât să nu mai auzim vocea voastră. hand You were the one who always stood beside me So unaware I foolishly believed That you would always be there But then there came a day And I turned my head and you slipped away If I had only known It was my last night by your side i would pray a miracle would stop the dawn And when you had smile at me I would look into your eyes And make sure you know my love For you goes on and on If I had only known If I had only known The love I would have shown If I had only known","['Nostalgia', 'Sadness', 'Tenderness']"
